id,weight,region,type,tenure,income,hardships,gender,move_date,pretenure,forced_move,move_to_buy
02307,176.315,Other CMA,03,owned,82500,neither,female,1-2,rent,no,no
02314,44.032,Non CMA,06,rented,20000,easy,male,10+,rent,yes,no
02344,182.867,Non CMA,06,rented,20000,difficult,male,10+,own,yes,no
02361,402.412,Vancouver,05,rented,67500,neither,female,4-5,rent,no,no
02370,72.771,Other CMA,06,owned,155000,neither,female,1-2,rent,no,no
02373,233.502,Other CMA,01,owned,115000,very easy,male,10+,own,no,no
02387,45.329,Other CMA,05,rented,19500,very difficult,male,10+,rent,no,no
02397,19.154,Non CMA,01,owned,210000,easy,male,10+,own,no,no
02399,204.367,Other CMA,01,owned,125000,very easy,male,10+,own,no,no
02417,99.489,Other CMA,06,rented,72500,difficult,male,3-4,rent,no,no
02431,125.414,Vancouver,05,rented,25000,neither,female,10+,rent,no,no
02433,670.097,Vancouver,04,owned,77500,neither,male,10+,own,no,no
02444,385.457,Vancouver,04,rented,30000,easy,female,1-2,rent,no,no
02455,301.518,Vancouver,03,rented,110000,easy,male,4-5,rent-free,no,no
02456,79.31,Other CMA,06,rented,60000,easy,male,3-4,own,no,no
02457,161.966,Vancouver,05,rented,25000,neither,male,5-10,rent,no,no
02478,288.654,Vancouver,01,owned,52500,neither,male,2-3,own,no,no
02483,405.185,Non CMA,01,owned,115000,neither,male,2-3,own,no,no
02500,1200.985,Vancouver,04,rented,55000,difficult,female,2-3,rent,yes,no
02504,204.367,Other CMA,01,owned,650000,very easy,male,10+,own,no,no
02509,119.139,Non CMA,06,rented,62500,neither,male,<1,rent,yes,no
02511,262.182,Non CMA,01,owned,180000,neither,female,1-2,own,no,no
02516,309.544,Non CMA,01,owned,72500,easy,male,5-10,own,no,no
02519,335.553,Other CMA,01,rented,135000,difficult,female,4-5,rent,no,no
02525,169.822,Vancouver,05,rented,22000,neither,male,4-5,own,no,no
02530,28.69,Other CMA,06,rented,39000,very easy,female,4-5,rent,no,no
02542,534.317,Non CMA,01,owned,92500,difficult,female,10+,own,no,no
02545,100.936,Other CMA,05,owned,33000,easy,male,<1,own,no,no
02553,208.96,Vancouver,05,owned,90000,neither,female,10+,rent,no,yes
02564,25.532,Non CMA,01,owned,102500,easy,female,2-3,own,no,no
02565,820.695,Non CMA,06,rented,87500,neither,female,<1,rent,no,no
02647,541.723,Non CMA,04,owned,175000,neither,male,10+,own,no,no
02654,647.388,Vancouver,01,owned,220000,very easy,male,5-10,own,no,no
02657,146.423,Vancouver,05,rented,95000,neither,female,3-4,rent,no,no
02690,34.642,Other CMA,03,rented,39000,difficult,female,10+,rent,no,no
02721,35.941,Other CMA,06,rented,19500,difficult,female,10+,rent,yes,no
02738,212.271,Other CMA,01,owned,90000,very easy,female,10+,own,no,no
02751,77.825,Other CMA,06,rented,90000,difficult,female,2-3,rent,no,no
02783,149.072,Vancouver,06,rented,20000,difficult,female,10+,rent,no,no
02792,1677.377,Vancouver,03,owned,40000,easy,male,5-10,rent-free,no,no
02793,937.727,Vancouver,06,owned,87500,neither,female,3-4,own,no,no
02794,389.194,Vancouver,05,owned,18500,neither,female,10+,own,no,no
02796,755.192,Vancouver,01,owned,70000,easy,female,10+,own,no,no
02816,700.355,Vancouver,04,rented,125000,easy,female,10+,rent,yes,no
02831,175.847,Non CMA,01,owned,27000,difficult,male,5-10,own,no,no
02838,1506.863,Vancouver,04,owned,23000,very easy,female,10+,own,no,no
02844,357.29,Non CMA,01,owned,67500,neither,female,5-10,own,no,no
02849,15.516,Non CMA,06,rented,29000,very difficult,male,3-4,own,yes,no
02853,925.882,Vancouver,01,owned,26000,neither,female,10+,own,no,no
02884,893.29,Vancouver,06,owned,72500,difficult,female,2-3,own,no,no
02890,55.823,Other CMA,06,owned,87500,neither,male,10+,own,no,no
02898,380.178,Vancouver,06,rented,44000,easy,male,10+,rent,no,no
02899,255.057,Vancouver,04,owned,145000,neither,female,5-10,own,no,no
02909,80.563,Other CMA,01,owned,33000,difficult,female,5-10,rent,no,yes
02917,39.106,Other CMA,03,rented,95000,easy,male,10+,rent,no,no
02935,284.005,Non CMA,06,owned,15000,difficult,female,10+,own,no,no
02937,262.559,Vancouver,06,rented,28000,neither,female,10+,rent,no,no
02938,630.396,Vancouver,04,owned,60000,very difficult,male,5-10,own,no,no
02947,620.924,Vancouver,06,owned,170000,easy,male,<1,own,no,no
02954,242.051,Other CMA,04,owned,90000,neither,female,5-10,own,no,no
02970,354.817,Vancouver,01,owned,200000,very easy,male,5-10,rent,no,yes
02982,342.869,Other CMA,01,owned,72500,difficult,male,10+,own,no,no
02988,29.253,Other CMA,06,rented,42000,neither,male,4-5,own,no,no
02990,200.707,Non CMA,06,rented,16000,neither,male,4-5,rent,no,no
